"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","4","399-C0603C104J3RACTUCT-ND","C0603C104J3RACTU","CAP CER 0.1UF 25V X7R 0603","","4","0","0.39000","1.56"
"2","6","1292-0603X106M100CT-ND","0603X106M100CT","CAP CER 10UF 10V X5R 0603","","6","0","0.10000","0.60"
"3","3","490-5526-1-ND","GRM188R60G226MEA0D","CAP CER 22UF 4V X5R 0603","","3","0","0.13000","0.39"
"4","3","1276-1184-1-ND","CL10B105KA8NNNC","CAP CER 1UF 25V X7R 0603","","3","0","0.10000","0.30"
"5","14","1276-1002-1-ND","CL05B104KP5NNNC","CAP CER 0.1UF 10V X7R 0402","","14","0","0.02500","0.35"
"6","5","490-4763-1-ND","GCM155R71H223KA55D","CAP CER 0.022UF 50V X7R 0402","","5","0","0.10000","0.50"
"7","3","846-SML-D12U8WT86CT-ND","SML-D12U8WT86","LED RED DIFFUSED 0603 SMD","","3","0","0.20000","0.60"
"8","3","846-1198-1-ND","SML-D13M8WT86","LED GREEN DIFFUSED 1608 SMD","","3","0","0.20000","0.60"
"9","3","846-SMLEN3BC8TT86CT-ND","SMLEN3BC8TT86","LED BLUE 0603 SMD","","3","0","0.58000","1.74"
"10","3","4878-1N4001CT-ND","1N4001","DIODE GEN PURP 50V 1A DO204AC","","3","0","0.14000","0.42"
"11","3","277-1580-ND","1935190","TERM BLK 5POS SIDE ENTRY 5MM PCB","","3","0","1.28000","3.84"
"12","3","670-DX07S016JA3R1500CT-ND","DX07S016JA3R1500","CONN RCP USB2.0 TYP C 24P SMD RA","","3","0","1.91000","5.73"
"13","3","277-1579-ND","1935187","TERM BLK 4POS SIDE ENTRY 5MM PCB","","3","0","1.03000","3.09"
"14","1","455-SM16B-SHLS-TFCT-ND","SM16B-SHLS-TF(LF)(SN)","CONN HEADER SMD R/A 16POS 1MM","","1","0","1.24000","1.24"
"15","10","277-1247-ND","1729128","TERM BLK 2P SIDE ENT 5.08MM PCB","","10","0","0.77700","7.77"
"16","3","785-1000-1-ND","AO3400A","MOSFET N-CH 30V 5.7A SOT23-3L","","3","0","0.52000","1.56"
"17","9","13-RC0603FR-105K1LCT-ND","RC0603FR-105K1L","RES 5.1K OHM 1% 1/10W 0603","","9","0","0.10000","0.90"
"18","5","RMCF0603FT2K21CT-ND","RMCF0603FT2K21","RES 2.21K OHM 1% 1/10W 0603","","5","0","0.10000","0.50"
"19","10","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","10","0","0.02400","0.24"
"20","5","RMCF0603FT1K00CT-ND","RMCF0603FT1K00","RES 1K OHM 1% 1/10W 0603","","5","0","0.10000","0.50"
"21","5","RMCF0603FT2K74CT-ND","RMCF0603FT2K74","RES 2.74K OHM 1% 1/10W 0603","","5","0","0.10000","0.50"
"22","3","RMCF0603JT220RCT-ND","RMCF0603JT220R","RES 220 OHM 5% 1/10W 0603","","3","0","0.10000","0.30"
"23","5","CW181-ND","GPTS203211B","SWITCH PUSHBUTTON SPST 1A 30V","","5","0","1.94000","9.70"
"24","3","1965-ESP32-S3-WROOM-1U-N8R8CT-ND","ESP32-S3-WROOM-1U-N8R8","RF TXRX MOD BLUETOOTH U.FL SMD","","3","0","6.32000","18.96"
"25","3","497-1242-1-ND","LD1117S33TR","IC REG LINEAR 3.3V 800MA SOT-223","","3","0","0.35000","1.05"
"26","5","296-53515-1-ND","DRV8876PWPR","IC MOTOR DRIVER DC 5.5V 16HTSSOP","","5","0","1.95000","9.75"
"27","3","1727-6070-1-ND","74LVC1G17GV,125","IC BUFF 1.65V SC-74A","","3","0","0.10000","0.30"

